                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.0787,                 1.4198,                0.77623,                0.83079,                0.63501,                0.47152,                0.51116,                0.35607,                0.54654,                0.40489,                0.41401,                0.23796,                 1.2193,                 1.5986,                 1.0108,                0.84757,             0.00013947,             0.00013947,             0.00013947
                     58,                 1.0307,                 1.3333,                0.76049,                0.83469,                0.62194,                0.47355,                0.50899,                0.35486,                  0.532,                0.40563,                0.41212,                0.24455,                 1.2293,                 1.6477,                 1.0105,                0.84991,             0.00013637,             0.00013637,             0.00013637
                     59,                 1.0506,                 1.3818,                 0.7779,                0.83394,                0.61366,                0.47072,                0.50851,                0.35432,                0.51954,                0.39811,                0.41375,                0.24841,                  1.239,                 1.6269,                 1.0133,                0.85039,             0.00013328,             0.00013328,             0.00013328
                     60,                 1.0917,                 1.4632,                 0.8102,                0.83921,                0.65119,                0.46584,                0.51962,                0.36449,                0.53621,                0.41318,                0.41698,                0.24184,                 1.2172,                 1.5644,                 1.0038,                0.84719,             0.00013018,             0.00013018,             0.00013018
                     61,                 1.0485,                 1.3791,                0.76995,                0.82883,                 0.6478,                0.46271,                0.52214,                0.36197,                0.55825,                0.40502,                0.41801,                0.24729,                 1.2129,                 1.5672,                 1.0041,                 0.8474,             0.00012708,             0.00012708,             0.00012708
                     62,                 1.0562,                 1.3878,                  0.751,                0.83238,                0.65658,                0.46607,                0.52726,                0.35775,                0.51178,                0.41211,                0.42572,                0.24773,                 1.2217,                 1.5863,                 1.0025,                 0.8472,             0.00012398,             0.00012398,             0.00012398
                     63,                 1.0454,                 1.3538,                0.73813,                0.82305,                0.65151,                0.47444,                0.53804,                0.36687,                 0.5642,                0.41311,                0.44105,                0.25065,                 1.2116,                 1.5402,                0.98917,                0.84378,             0.00012088,             0.00012088,             0.00012088
                     64,                  1.028,                 1.3457,                0.73811,                0.81933,                0.63456,                0.48034,                0.52903,                0.35657,                0.53989,                0.41193,                0.42317,                0.23797,                 1.2262,                 1.6114,                0.99396,                0.84462,             0.00011778,             0.00011778,             0.00011778
                     65,                 1.0728,                 1.4227,                0.75302,                0.82982,                0.63942,                0.48047,                0.52629,                0.35525,                0.54496,                0.41402,                0.42506,                0.24738,                 1.2401,                 1.6482,                0.99374,                0.84704,             0.00011468,             0.00011468,             0.00011468
                     66,                 1.0227,                 1.3628,                0.73205,                0.83208,                0.60555,                0.49194,                0.51999,                 0.3546,                0.47273,                0.42632,                0.42054,                0.23812,                 1.2298,                 1.6234,                0.98959,                0.84612,             0.00011158,             0.00011158,             0.00011158
                     67,                 1.0365,                 1.3795,                0.74823,                0.82788,                0.59651,                0.48673,                0.51492,                0.34788,                0.55187,                0.39357,                0.41274,                 0.2324,                 1.2425,                 1.6885,                0.99399,                0.84654,             0.00010849,             0.00010849,             0.00010849
                     68,                 1.0495,                 1.4015,                0.74097,                0.82746,                0.55492,                0.48998,                0.52481,                0.35992,                0.56167,                0.40413,                0.42636,                0.24601,                 1.2295,                 1.6303,                0.98691,                0.84433,             0.00010539,             0.00010539,             0.00010539
                     69,                 1.0697,                  1.356,                0.75011,                0.82645,                0.56207,                0.48776,                0.53046,                0.36595,                0.57225,                0.39617,                0.43146,                0.24733,                   1.23,                 1.6026,                0.99093,                0.84502,             0.00010229,             0.00010229,             0.00010229
                     70,                 1.0255,                 1.3639,                0.73567,                0.82629,                0.56593,                0.48749,                0.52992,                0.36563,                0.58062,                0.39492,                 0.4352,                0.24651,                  1.233,                 1.6343,                0.99505,                0.84377,              9.919e-05,              9.919e-05,              9.919e-05
                     71,                 1.0156,                 1.3337,                0.73206,                0.82357,                0.58617,                0.50308,                 0.5332,                0.36895,                0.51456,                0.44226,                0.44569,                0.25717,                 1.2054,                 1.5815,                0.98596,                0.84142,             9.6091e-05,             9.6091e-05,             9.6091e-05
                     72,                 1.0172,                 1.3628,                 0.7333,                0.82846,                0.67022,                0.48497,                0.53368,                0.36601,                0.63148,                0.39735,                0.43797,                0.24938,                  1.204,                  1.584,                0.97845,                0.84163,             9.2992e-05,             9.2992e-05,             9.2992e-05
                     73,                 0.9925,                 1.3099,                0.69948,                0.82144,                0.66851,                0.48373,                0.52855,                0.35875,                0.61659,                0.38704,                0.42129,                0.23761,                 1.2265,                 1.6359,                0.97763,                0.84281,             8.9894e-05,             8.9894e-05,             8.9894e-05
                     74,                 1.0474,                 1.3745,                0.73456,                0.82179,                0.59499,                 0.4948,                0.53263,                0.36303,                0.61276,                0.39906,                0.43421,                0.24378,                 1.2263,                 1.6076,                0.97119,                0.84252,             8.6795e-05,             8.6795e-05,             8.6795e-05
                     75,                 1.0183,                  1.309,                0.71536,                0.82516,                 0.6474,                0.50373,                 0.5408,                0.38093,                0.61073,                0.41963,                0.44571,                0.25721,                 1.1948,                 1.5212,                0.96939,                0.84038,             8.3696e-05,             8.3696e-05,             8.3696e-05
                     76,                 1.0489,                 1.3599,                0.73087,                0.82477,                0.71574,                0.47311,                0.54117,                0.37564,                0.64307,                0.41826,                0.45043,                0.25217,                    1.2,                  1.543,                  0.968,                0.84097,             8.0598e-05,             8.0598e-05,             8.0598e-05
                     77,                 1.0624,                 1.4083,                0.73059,                0.82552,                0.65726,                 0.4928,                0.54104,                0.36174,                0.62714,                0.40401,                0.43514,                0.23877,                  1.216,                 1.6112,                0.96791,                0.84172,             7.7499e-05,             7.7499e-05,             7.7499e-05
                     78,                 1.0054,                 1.3315,                0.72134,                0.82032,                0.61648,                0.49461,                0.53731,                0.36186,                0.57137,                 0.4178,                 0.4276,                0.24337,                 1.1984,                 1.5642,                0.96778,                 0.8396,               7.44e-05,               7.44e-05,               7.44e-05
                     79,                 1.0339,                 1.4049,                0.71995,                0.82046,                0.65422,                0.51285,                0.54563,                0.37515,                0.57213,                0.43964,                0.43521,                0.24499,                 1.1802,                 1.5119,                0.96183,                0.83823,             7.1301e-05,             7.1301e-05,             7.1301e-05
                     80,                0.97271,                 1.2798,                0.68819,                0.82569,                0.65229,                0.52025,                0.55064,                0.37379,                0.56126,                0.44564,                0.44056,                0.24399,                 1.1979,                 1.5695,                0.96291,                0.84042,             6.8203e-05,             6.8203e-05,             6.8203e-05
                     81,                  1.041,                 1.3665,                0.72912,                0.82338,                0.65113,                0.51504,                0.55005,                0.37254,                0.56263,                0.44271,                0.44205,                0.24472,                 1.1971,                  1.577,                0.96531,                0.84113,             6.5104e-05,             6.5104e-05,             6.5104e-05
                     82,                 0.9845,                 1.2733,                0.70976,                0.82548,                0.66277,                0.50522,                0.54935,                0.37062,                0.56576,                 0.4292,                0.43552,                0.24299,                  1.195,                 1.5765,                0.95327,                0.84019,             6.2005e-05,             6.2005e-05,             6.2005e-05
                     83,                 0.9998,                 1.3286,                0.70873,                0.82056,                0.66479,                0.50344,                  0.547,                0.36855,                0.56684,                0.42573,                0.42973,                0.24112,                 1.1905,                 1.5804,                0.95413,                0.83984,             5.8907e-05,             5.8907e-05,             5.8907e-05
                     84,                0.97394,                 1.2775,                0.70108,                0.82402,                0.65992,                0.50894,                0.54859,                 0.3773,                0.57008,                 0.4382,                0.44369,                0.24827,                 1.1675,                 1.5066,                0.94841,                 0.8392,             5.5808e-05,             5.5808e-05,             5.5808e-05
                     85,                0.97166,                 1.2892,                0.67711,                0.82037,                0.61263,                0.50796,                0.55032,                0.38184,                0.52184,                 0.4379,                0.44902,                0.25384,                  1.172,                 1.5026,                0.94989,                0.84059,             5.2709e-05,             5.2709e-05,             5.2709e-05
                     86,                 1.0012,                 1.3171,                0.68874,                0.81968,                0.61107,                0.51372,                0.55058,                0.37486,                0.51637,                0.43217,                0.43824,                0.24963,                 1.1947,                  1.546,                0.95503,                0.84252,             4.9611e-05,             4.9611e-05,             4.9611e-05
                     87,                 1.0374,                 1.3506,                0.71579,                0.81429,                0.61236,                0.50152,                0.54711,                0.37253,                0.59872,                0.41076,                0.43729,                0.24774,                  1.194,                  1.556,                0.95603,                0.84218,             4.6512e-05,             4.6512e-05,             4.6512e-05
                     88,                0.99015,                 1.2871,                0.69998,                0.82319,                0.71794,                0.47393,                 0.5508,                0.37803,                0.61556,                0.40929,                0.44136,                 0.2548,                 1.1747,                 1.5083,                0.95579,                0.84106,             4.3413e-05,             4.3413e-05,             4.3413e-05
                     89,                0.99723,                 1.3272,                0.68832,                0.81786,                 0.7184,                 0.4744,                0.55375,                 0.3816,                0.62315,                0.40953,                0.44435,                0.25683,                  1.174,                 1.5094,                0.95668,                  0.841,             4.0314e-05,             4.0314e-05,             4.0314e-05
                     90,                 1.0229,                 1.3062,                0.68902,                0.81865,                 0.6932,                0.48771,                0.55294,                0.37558,                0.60628,                0.41145,                0.44022,                0.24998,                 1.1924,                 1.5595,                 0.9566,                  0.843,             3.7216e-05,             3.7216e-05,             3.7216e-05
                     91,                 1.0764,                 1.4729,                0.82248,                0.82896,                0.69326,                0.48868,                0.54751,                 0.3747,                 0.5986,                0.41944,                 0.4346,                 0.2461,                 1.2065,                 1.5944,                0.96629,                0.84305,             3.4117e-05,             3.4117e-05,             3.4117e-05
                     92,                 1.0877,                  1.458,                 0.7781,                0.82123,                0.62713,                0.49766,                0.53981,                0.37206,                0.58111,                0.42204,                0.42754,                0.23677,                 1.2117,                 1.5598,                0.97709,                0.84214,             3.1018e-05,             3.1018e-05,             3.1018e-05
                     93,                 1.0531,                 1.4159,                0.74127,                0.82588,                0.61346,                0.50991,                0.54214,                0.37765,                0.52592,                0.41772,                0.41857,                0.23653,                 1.2037,                 1.5255,                0.97792,                0.84086,              2.792e-05,              2.792e-05,              2.792e-05
                     94,                 1.0713,                 1.4535,                0.73261,                0.82283,                0.60449,                0.50181,                0.53944,                0.37629,                0.54933,                0.41126,                0.41652,                0.23783,                 1.1947,                 1.5142,                0.97849,                0.84028,             2.4821e-05,             2.4821e-05,             2.4821e-05
                     95,                 1.0822,                 1.4272,                0.78511,                0.82374,                0.64652,                0.49497,                0.53707,                0.37343,                0.53244,                0.40853,                0.41287,                0.23464,                 1.1977,                 1.5194,                0.98008,                 0.8397,             2.1722e-05,             2.1722e-05,             2.1722e-05
                     96,                  1.025,                 1.3694,                 0.7035,                0.81788,                0.64698,                0.49028,                0.53365,                0.36999,                0.53454,                0.40843,                0.41291,                0.23402,                 1.1888,                 1.5224,                 0.9813,                0.83882,             1.8624e-05,             1.8624e-05,             1.8624e-05
                     97,                 1.0401,                 1.4081,                0.72398,                0.81332,                0.63951,                0.48537,                0.53108,                0.36902,                0.61406,                0.37452,                0.41071,                0.23311,                 1.1836,                 1.5217,                0.98297,                0.83867,             1.5525e-05,             1.5525e-05,             1.5525e-05
                     98,                 1.0464,                 1.4009,                0.72952,                0.81856,                0.64643,                0.48562,                0.52958,                0.36756,                0.56739,                0.37668,                 0.4039,                 0.2323,                 1.1836,                 1.5293,                0.98279,                0.83896,             1.2426e-05,             1.2426e-05,             1.2426e-05
                     99,                 1.0374,                 1.4151,                0.69982,                0.82236,                0.65548,                0.47938,                0.52935,                 0.3697,                0.55969,                0.38306,                0.40708,                0.23275,                 1.1842,                 1.5301,                0.98389,                0.83938,             9.3274e-06,             9.3274e-06,             9.3274e-06
                    100,                 1.0515,                 1.3965,                0.73783,                0.82644,                0.65851,                0.48145,                0.53296,                0.37257,                0.55542,                0.38868,                 0.4171,                0.23609,                 1.1816,                 1.5245,                0.98297,                0.83943,             6.2287e-06,             6.2287e-06,             6.2287e-06
