                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 0.6337,                0.79478,                0.37237,                0.89314,                0.90131,                0.80974,                0.86317,                0.74365,                0.90044,                0.80756,                0.86537,                0.68187,                0.65638,                 0.8412,                0.36118,                0.88328,             0.00013018,             0.00013018,             0.00013018
                     61,                 0.6236,                 0.7834,                0.36549,                0.89091,                0.90557,                0.82398,                0.88488,                0.76515,                0.90446,                0.82265,                0.88497,                0.70815,                0.64824,                  0.842,                0.35604,                0.88093,             0.00012708,             0.00012708,             0.00012708
                     62,                 0.6243,                0.78332,                0.36553,                0.89064,                0.92012,                0.80868,                0.86947,                0.75236,                0.91832,                0.80375,                0.87101,                0.69435,                 0.6448,                 0.8501,                0.35898,                0.87836,             0.00012398,             0.00012398,             0.00012398
                     63,                0.62437,                0.78091,                0.36424,                0.89034,                0.91158,                0.83258,                 0.8769,                0.76067,                0.91116,                0.82996,                0.87857,                 0.6981,                0.64657,                0.84672,                0.35801,                 0.8761,             0.00012088,             0.00012088,             0.00012088
                     64,                0.61676,                0.76855,                0.35706,                0.88872,                0.90417,                0.80743,                0.87675,                0.75778,                0.89836,                0.80365,                0.87678,                0.69869,                0.64651,                0.84901,                0.35971,                0.87776,             0.00011778,             0.00011778,             0.00011778
                     65,                 0.6131,                 0.7723,                0.35682,                0.88806,                0.90274,                 0.8146,                0.87215,                0.75987,                0.90555,                0.81342,                0.87317,                0.69843,                0.64333,                0.84483,                0.35701,                 0.8754,             0.00011468,             0.00011468,             0.00011468
                     66,                0.61382,                0.77461,                0.35857,                0.88837,                0.81386,                0.88275,                 0.8862,                0.77215,                0.81222,                0.87982,                 0.8861,                0.71661,                0.64129,                0.84308,                0.35541,                0.87319,             0.00011158,             0.00011158,             0.00011158
                     67,                0.60968,                0.76906,                0.35601,                0.88574,                0.83624,                0.88021,                0.90621,                0.78886,                0.83515,                0.87898,                0.90792,                0.73885,                0.64008,                0.84903,                0.35835,                0.87483,             0.00010849,             0.00010849,             0.00010849
                     68,                0.60889,                0.77392,                0.35151,                0.88551,                0.84116,                0.88392,                0.90793,                0.79438,                0.83776,                0.88086,                0.90452,                0.73981,                0.63622,                0.84781,                 0.3527,                0.87341,             0.00010539,             0.00010539,             0.00010539
                     69,                0.60497,                 0.7576,                0.34937,                0.88365,                0.80995,                0.89536,                0.91272,                0.79733,                0.80678,                0.89213,                 0.9106,                0.73463,                0.63641,                0.84956,                0.35473,                 0.8717,             0.00010229,             0.00010229,             0.00010229
                     70,                0.59832,                0.76107,                0.34732,                 0.8817,                0.95595,                0.78515,                0.90531,                0.78447,                0.95348,                0.78121,                0.90417,                0.72979,                0.63611,                0.83582,                0.35346,                0.87076,              9.919e-05,              9.919e-05,              9.919e-05
                     71,                0.59763,                0.75614,                0.34238,                0.87983,                0.87286,                0.87991,                0.91085,                0.79539,                0.86969,                0.87627,                 0.9109,                 0.7362,                0.63259,                0.83124,                0.34911,                0.86892,             9.6091e-05,             9.6091e-05,             9.6091e-05
                     72,                0.59789,                0.75382,                0.34329,                0.87972,                0.85892,                0.89796,                 0.9157,                 0.7992,                0.85581,                0.89457,                 0.9142,                0.74117,                 0.6316,                 0.8415,                 0.3478,                0.86776,             9.2992e-05,             9.2992e-05,             9.2992e-05
                     73,                 0.5922,                0.75286,                0.33924,                0.88036,                0.88671,                0.89398,                0.91913,                 0.7991,                 0.8818,                0.88884,                0.91653,                0.74153,                0.63227,                 0.8358,                0.34694,                0.86913,             8.9894e-05,             8.9894e-05,             8.9894e-05
                     74,                0.58866,                0.74196,                0.33842,                0.88032,                0.90331,                0.83043,                0.87939,                0.76272,                0.89384,                0.82588,                0.87589,                0.70443,                0.63315,                 0.8366,                0.34788,                0.87326,             8.6795e-05,             8.6795e-05,             8.6795e-05
                     75,                0.58973,                0.74074,                0.33666,                0.87953,                0.92325,                0.81236,                 0.8725,                0.76199,                0.92225,                0.80711,                0.87078,                0.69946,                0.63171,                0.84382,                0.34866,                0.87157,             8.3696e-05,             8.3696e-05,             8.3696e-05
                     76,                0.58312,                0.73451,                0.32864,                0.87718,                0.93299,                0.80975,                0.88737,                0.77168,                0.93234,                0.80838,                0.88689,                0.70996,                0.62926,                 0.8466,                0.34389,                0.87022,             8.0598e-05,             8.0598e-05,             8.0598e-05
                     77,                0.58298,                0.74327,                0.32902,                0.87684,                0.92646,                0.82464,                0.87274,                0.76044,                0.92518,                0.82065,                0.87096,                0.69694,                0.62999,                0.84096,                0.34098,                0.87085,             7.7499e-05,             7.7499e-05,             7.7499e-05
                     78,                0.57796,                0.73338,                0.32399,                0.87717,                  0.923,                0.81693,                0.87384,                0.76098,                 0.9204,                0.80988,                0.87192,                 0.6954,                0.62922,                0.84848,                0.34505,                0.87106,               7.44e-05,               7.44e-05,               7.44e-05
                     79,                0.57816,                0.73064,                0.32488,                0.87434,                0.93038,                0.81596,                0.87444,                0.76403,                0.92787,                0.80903,                0.87463,                0.70028,                0.62703,                0.84832,                0.33895,                0.86983,             7.1301e-05,             7.1301e-05,             7.1301e-05
                     80,                0.57406,                0.72306,                0.32623,                 0.8776,                0.93069,                0.80913,                0.86468,                0.75818,                0.92736,                0.80356,                0.86432,                0.69707,                0.62581,                0.84828,                0.34426,                0.87028,             6.8203e-05,             6.8203e-05,             6.8203e-05
