                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.66305,                0.83195,                0.40475,                0.90335,                0.87566,                0.80784,                0.85783,                0.72805,                0.86575,                0.79324,                0.83554,                0.64809,                0.67543,                0.85885,                0.38013,                0.89546,             0.00014567,             0.00014567,             0.00014567
                     56,                0.66048,                0.83232,                0.39844,                0.90292,                0.86726,                0.80601,                0.84676,                0.71931,                0.85436,                0.79322,                0.83558,                0.64688,                0.67269,                0.85859,                0.37843,                0.89354,             0.00014257,             0.00014257,             0.00014257
                     57,                0.65372,                0.82749,                0.39341,                0.89794,                0.90464,                0.79712,                0.85148,                0.72474,                0.89027,                0.78598,                0.83667,                 0.6546,                0.67072,                0.86099,                0.37651,                 0.8933,             0.00013947,             0.00013947,             0.00013947
                     58,                0.64672,                 0.8223,                0.39093,                0.89845,                0.91862,                0.80167,                0.85709,                0.73621,                0.90693,                0.79384,                0.83383,                0.65167,                0.67246,                0.85493,                0.37577,                0.89515,             0.00013637,             0.00013637,             0.00013637
                     59,                0.65023,                 0.8232,                 0.3947,                0.90092,                0.90681,                0.79125,                0.86289,                0.74177,                0.88547,                0.78363,                0.84638,                0.66383,                0.66775,                0.85584,                0.37051,                0.89614,             0.00013328,             0.00013328,             0.00013328
                     60,                0.64791,                0.81359,                0.38283,                0.89552,                0.91993,                0.81047,                0.85657,                0.73365,                0.91269,                0.80115,                0.84171,                  0.655,                0.67005,                0.84613,                0.36964,                 0.8966,             0.00013018,             0.00013018,             0.00013018
                     61,                0.64409,                0.80869,                0.38511,                0.89714,                0.89303,                0.82208,                0.86031,                0.73893,                0.89305,                0.81774,                0.85276,                0.66467,                 0.6657,                0.85405,                0.36894,                0.89607,             0.00012708,             0.00012708,             0.00012708
                     62,                0.64332,                0.80564,                 0.3795,                0.89487,                0.87513,                0.80684,                0.85862,                0.73573,                0.87666,                 0.7915,                0.84253,                0.65182,                0.66335,                0.85106,                0.37036,                 0.8936,             0.00012398,             0.00012398,             0.00012398
                     63,                0.63883,                0.80764,                0.38006,                0.89573,                0.89546,                0.79339,                0.85718,                0.73056,                0.88969,                0.78791,                0.84427,                0.65282,                 0.6645,                0.85886,                0.36623,                0.89616,             0.00012088,             0.00012088,             0.00012088
                     64,                0.62936,                0.79944,                0.37594,                0.89032,                0.88611,                0.80444,                0.85928,                 0.7383,                0.87908,                0.79224,                0.84888,                 0.6577,                 0.6605,                0.85106,                0.36373,                0.89032,             0.00011778,             0.00011778,             0.00011778
                     65,                0.62941,                 0.7969,                0.37633,                0.89142,                0.87113,                0.81212,                0.85125,                0.73594,                0.85904,                0.79774,                0.83332,                0.65433,                0.66112,                0.84555,                0.36508,                0.88915,             0.00011468,             0.00011468,             0.00011468
                     66,                0.63068,                 0.7988,                0.37177,                0.89156,                0.86835,                0.81164,                0.85692,                0.74089,                0.87368,                0.78992,                0.84336,                0.66626,                0.65718,                0.84754,                0.36489,                0.88876,             0.00011158,             0.00011158,             0.00011158
                     67,                 0.6227,                0.78678,                 0.3687,                0.89097,                0.86895,                0.80725,                0.85146,                0.72682,                0.86335,                 0.8025,                0.83412,                0.64807,                 0.6545,                 0.8532,                0.36134,                 0.8882,             0.00010849,             0.00010849,             0.00010849
                     68,                0.62383,                0.79422,                0.36806,                0.88981,                0.93213,                0.79298,                 0.8534,                0.72806,                0.89308,                0.80767,                0.83327,                0.65266,                0.65636,                0.85231,                0.36253,                0.88824,             0.00010539,             0.00010539,             0.00010539
